Level,Date and Time,Source,Event ID,Task Category
Information,28.12.2016 г. 16:26:53 ч.,EventLog,6005,None,The Event log service was started.
Information,28.12.2016 г. 16:21:52 ч.,EventLog,6005,None,The Event log service was started.
Information,28.12.2016 г. 15:52:19 ч.,EventLog,6005,None,The Event log service was started.
Information,28.12.2016 г. 11:23:57 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.12.2016 г. 08:32:51 ч.,EventLog,6005,None,The Event log service was started.
Information,27.12.2016 г. 12:23:34 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.12.2016 г. 08:44:06 ч.,EventLog,6005,None,The Event log service was started.
Information,26.12.2016 г. 14:05:33 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.12.2016 г. 14:02:43 ч.,EventLog,6005,None,The Event log service was started.
Information,26.12.2016 г. 13:30:20 ч.,EventLog,6005,None,The Event log service was started.
Information,26.12.2016 г. 13:16:22 ч.,EventLog,6005,None,The Event log service was started.
Information,25.12.2016 г. 12:58:26 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.12.2016 г. 12:53:23 ч.,EventLog,6005,None,The Event log service was started.
Information,25.12.2016 г. 12:43:41 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.12.2016 г. 12:33:10 ч.,EventLog,6005,None,The Event log service was started.
Information,24.12.2016 г. 22:22:39 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.12.2016 г. 21:47:36 ч.,EventLog,6005,None,The Event log service was started.
Information,24.12.2016 г. 19:00:15 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.12.2016 г. 18:31:58 ч.,EventLog,6005,None,The Event log service was started.
Information,24.12.2016 г. 18:31:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.12.2016 г. 13:40:35 ч.,EventLog,6005,None,The Event log service was started.
Information,24.12.2016 г. 13:39:53 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.12.2016 г. 13:37:35 ч.,EventLog,6005,None,The Event log service was started.
Information,24.12.2016 г. 13:36:51 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.12.2016 г. 13:26:24 ч.,EventLog,6005,None,The Event log service was started.
Information,23.12.2016 г. 22:55:22 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.12.2016 г. 22:49:18 ч.,EventLog,6005,None,The Event log service was started.
Information,23.12.2016 г. 22:48:35 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.12.2016 г. 22:46:51 ч.,EventLog,6005,None,The Event log service was started.
Information,23.12.2016 г. 22:46:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.12.2016 г. 21:11:35 ч.,EventLog,6005,None,The Event log service was started.
Information,22.12.2016 г. 12:22:20 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.12.2016 г. 08:45:32 ч.,EventLog,6005,None,The Event log service was started.
Information,21.12.2016 г. 12:41:27 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.12.2016 г. 08:59:24 ч.,EventLog,6005,None,The Event log service was started.
Information,20.12.2016 г. 12:03:58 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.12.2016 г. 08:50:39 ч.,EventLog,6005,None,The Event log service was started.
Information,19.12.2016 г. 12:19:09 ч.,EventLog,6006,None,The Event log service was stopped.
Information,19.12.2016 г. 09:17:17 ч.,EventLog,6005,None,The Event log service was started.
Information,17.12.2016 г. 11:25:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,17.12.2016 г. 10:29:47 ч.,EventLog,6005,None,The Event log service was started.
Information,17.12.2016 г. 10:10:53 ч.,EventLog,6005,None,The Event log service was started.
Information,17.12.2016 г. 09:11:03 ч.,EventLog,6005,None,The Event log service was started.
Information,17.12.2016 г. 09:08:19 ч.,EventLog,6005,None,The Event log service was started.
Information,16.12.2016 г. 12:45:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.12.2016 г. 08:44:41 ч.,EventLog,6005,None,The Event log service was started.
Information,15.12.2016 г. 08:52:10 ч.,EventLog,6005,None,The Event log service was started.
